keyword,category,title,price,extracted_price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail,installment_price,installment_months,currency
iphone,mobile,Apple iPhone 17 Pro,$62.45/mo,62.45,62.45,4.5,13000.0,Apple,1,Free next-day delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:461677229171638444,productid:6099195971872800621,headlineOfferDocid:8182383595621411134,imageDocid:4482703506354512087,rds:PC_9961958114952839788|PROD_PC_9961958114952839788,gpcid:9961958114952839788,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQGAwEsFNliufWmfYbTI3uNG0_6h4zmRjXz8ff9aRIqDd9B-QoxBvfitl6BFnsS57L0uxuzc5eMMeQBpe2xCc5VUv32rkB69fJthua4toeg0-hCZjHxx7PCDg,62.45,24.0,USD
iphone,mobile,Apple iPhone 16e,$149.99,149.99,149.99,4.6,10000.0,Boost Mobile,2,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:16029531393919230726,productid:1897130661901326138,headlineOfferDocid:15800488489070171164,imageDocid:13450378854840152589,rds:PC_14126173308846421367|PROD_PC_14126173308846421367,gpcid:14126173308846421367,mid:576462880781495626,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTzJZ8y9akJHWjGyjuuTuCRfL0Ss1KS3Zslt4klY0DkNiwqdPBJpKfdVlD5bFi6wf8ht8f_NV3FL5y61wSSAer7nT7DhBH_,,,USD
iphone,mobile,Apple iPhone 17 Pro Max,$49.95/mo,49.95,49.95,4.5,22000.0,Apple,3,Free next-day delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:14168848586042650493,productid:6267898192402169263,headlineOfferDocid:9742715914832712106,imageDocid:17255481404991010739,rds:PC_4867250886722056820|PROD_PC_4867250886722056820,gpcid:4867250886722056820,mid:576462556069674099,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpUSMeAsqd589UZhzQMfHiSPtKfm7CFP_LJMHL8OfcsZ_aE7jBpED9TxRAAu2M4IUiAWaHmgJsbaNxaSftg1csz50-j5RKZUyLb0y8af4AQyYvxDrXwFwg,49.95,24.0,USD
iphone,mobile,Apple iPhone 15,$499.00,499.0,499.0,4.7,54000.0,Walmart,4,Free delivery by Sat,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:11705794825643768767,productid:2568289313584734313,headlineOfferDocid:6665082123021186545,imageDocid:10230625183121457869,rds:PC_6601648695432433635|PROD_PC_6601648695432433635,gpcid:6601648695432433635,mid:576462758755759090,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRhyCBwbKBtpW572yw0vEJJPca5q1wDYAaj_OrRKSn4FdHELjSemjEIp7d-zh5sbLkNz_o_jlExS6nUAZqSPTp8RojSNC5HFxfXVEk8T2nNF-7ebsmKArlyEA,,,USD
iphone,mobile,Apple iPhone 17,$829.00,829.0,829.0,4.8,23000.0,Apple,5,Free next-day delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:1162483734985481855,productid:1682543984926353568,headlineOfferDocid:15441680057023274579,imageDocid:8199555666722271560,rds:PC_4728907421224624008|PROD_PC_4728907421224624008,gpcid:4728907421224624008,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQsIF_-Q1ySMMBTvGAmS-UGLsAsGhIfZ1Ecmco7EDXaIKJk1x6wKXmRlpaFg3l4G7E3lnu8cMphDtQIISBd7z4c83F7kPIUZ72oEk0HsmDnrGSnUY_0PAxF9C4,,,USD
iphone,mobile,Apple iPhone 16 Plus,$25.83/mo,25.83,25.83,4.7,9800.0,Verizon,6,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:750620215642480126,productid:11095062588487401386,headlineOfferDocid:1847369472416581245,imageDocid:4714281717718011263,rds:PC_8897179128216049295|PROD_PC_8897179128216049295,gpcid:8897179128216049295,mid:576462819791058017,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSbCe909mgPp0WWnO37uz1BsjQPSeW_8YXd37xCRxaHsnjqvhN84Z02g3VcAIiTljiVk1JHGAIdnhUBjDM0V7DSiIVZtxHQ,25.83,36.0,USD
iphone,mobile,Apple iPhone 16,$20.25/mo,20.25,20.25,4.7,29000.0,Walmart,7,,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:2517119301140850438,productid:12239783624438124415,headlineOfferDocid:3571768337583677743,imageDocid:3274259940317916866,rds:PC_1465601687215425854|PROD_PC_1465601687215425854,gpcid:1465601687215425854,mid:576460833570787340,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ6ch3TF-I8PcW2C4s4izQEM_f37vPF0NBeGeH6GVEr32stgvJsAw5KC2B1ZEVF49iv-nTZZn7gOfC39FixR8D07cOwgdFSmEAvzU59gSdtBpuarsQDmikI,20.25,36.0,USD
iphone,mobile,Apple iPhone 17e,$6.99/mo,6.99,6.99,4.7,1800.0,AT&T,8,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:17933694113703965261,productid:14651588985570776420,headlineOfferDocid:10377872843847532659,imageDocid:3940799764689133153,rds:PC_15096775703250617709|PROD_PC_15096775703250617709,gpcid:15096775703250617709,mid:576462883654484663,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR8ICQGh24Qss1JuVNRiabUaO6q-UNykjsxjsx0kqNi2vJxvRT0WtqsOGGoUF20qyzRm5sYeSThdgdrdz3oFsj9u3SuDVe6,6.99,36.0,USD
iphone,mobile,Apple iPhone Air,$58.29/mo,58.29,58.29,4.3,4300.0,Apple,9,Free next-day delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=catalogid:17991041022236373368,productid:13257889039355079611,headlineOfferDocid:12729316295016605768,imageDocid:845593542305997107,rds:PC_17053988925978656314|PROD_PC_17053988925978656314,gpcid:17053988925978656314,mid:576462879844799774,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRW0KJ-gJDjzUGCOaH6zFRNJQ6QiLk-sqXTQF02YFMZW6oT2yQ5gMLYxKXrY9FLOd9oAlwoAlFSNry58M0Gv83mAy_BrP_sjU6iwZSngeFIyOv448kW7OZ2,58.29,24.0,USD
iphone,mobile,Apple iPhone 15 128GB Black - Available With Cricket Wireless Plan,$349.99,349.99,349.99,4.5,11.0,Cricket Wireless,10,Free delivery,"https://www.google.com/search?ibp=oshop&q=iphone&prds=productid:10381625117188221237,headlineOfferDocid:10381625117188221237,imageDocid:13174789921801823907,rds:PC_10050402835695201371|PROD_PC_10050402835695201371,pvt:hg&hl=en&gl=us&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTGEhNOH5hw0fWxHgyad6KbEcpZs6k9KhYHuCNmXWKcgBpRDFGIf6CawbHJwtd1Bn6WrsUpPpCelkuCwoV689s39MH7nnU9HqWawIrEyOQrPnNKeGyXx0SlRw,,,USD
