keyword,category,title,final_price,rating,reviews,platform,delivery,currency,is_emi,link
office chair ergonomic,office equipments,HP office chair ergonomic Model 603,36225.0,3.7,3241.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 877,2507.0,4.7,3446.0,flipkart,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 536,2176.0,3.8,2031.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Samsung power bank fast charging Model 562,5331.0,,4124.0,reliance digital,5 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 836,4564.0,3.0,1540.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 588,21830.0,4.0,126.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 591,19233.0,4.6,3911.0,reliance digital,5 Days,UNKNOWN,False,
men running shoes,fashion,Boat men running shoes Model 859 ,20381.0,,684.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 417,8744.0,4.9,3832.0,croma,2 Days,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 575,190200.0,4.5,4367.0,croma,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Sony power bank fast charging Model 896,5150.0,5.0,2220.0,croma,2 Days,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 339,45304.0,2.7,1761.0,reliance digital,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 418,9160.0,3.7,2887.0,amazon,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 382,10945.0,2.9,3032.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 409,17931.0,2.9,4166.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 198 ,15160.0,3.2,1275.0,flipkart,2 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 266,45361.0,3.1,2934.0,croma,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 621 ,48199.0,,203.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Nike men running shoes Model 602,22310.0,3.8,255.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 351,31911.0,4.4,2073.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Nike office chair ergonomic Model 173,33852.0,4.4,3965.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 796,16321.0,4.8,4474.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Puma power bank fast charging Model 343,889.0,4.9,3557.0,reliance digital,5 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 438,1670.0,3.9,1982.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,Sony office chair ergonomic Model 955,28760.0,3.6,2169.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Nike microwave oven convection Model 917 ,4484.0,3.0,3422.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,Dell air fryer India Model 250,25576.0,2.9,1041.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 977,999.0,3.3,2070.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Dell microwave oven convection Model 272,438510.0,4.5,351.0,reliance digital,5 Days,UNKNOWN,False,
air fryer india,other,LG air fryer India Model 797,10526.0,4.7,4373.0,reliance digital,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 187,7370.0,4.9,324.0,flipkart,5 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 927,5380.0,2.6,1069.0,croma,Free Delivery,UNKNOWN,False,
office chair ergonomic,office equipments,Boat office chair ergonomic Model 251,10118.0,3.7,2270.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 769,6357.0,3.3,255.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Dell power bank fast charging Model 326,35283.0,3.8,4008.0,amazon,2 Days,UNKNOWN,False,
men running shoes,fashion,Dell men running shoes Model 450,2830.0,2.9,3675.0,amazon,2 Days,UNKNOWN,False,
power bank fast charging,other,LG power bank fast charging Model 330,28981.0,3.8,4349.0,croma,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,LG office chair ergonomic Model 365,42218.0,3.0,138.0,amazon,Free Delivery,UNKNOWN,False,
men running shoes,fashion,LG men running shoes Model 272,20795.0,4.1,1456.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,HP microwave oven convection Model 260,10399.0,4.8,1364.0,croma,2 Days,UNKNOWN,False,
men running shoes,fashion,HP men running shoes Model 980,22136.0,4.4,2269.0,croma,Free Delivery,UNKNOWN,False,
power bank fast charging,other,Boat power bank fast charging Model 625 ,38621.0,3.5,2443.0,amazon,2 Days,UNKNOWN,False,
office chair ergonomic,office equipments,HP office chair ergonomic Model 850,47613.0,4.9,4909.0,croma,5 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 255,9089.0,4.1,3138.0,croma,5 Days,UNKNOWN,False,
air fryer india,other,Sony air fryer India Model 404,10311.0,2.9,2685.0,croma,Free Delivery,UNKNOWN,False,
air fryer india,other,Philips air fryer India Model 313 ,38075.0,3.5,1080.0,amazon,Free Delivery,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 765,8497.0,2.6,1408.0,croma,2 Days,UNKNOWN,False,
microwave oven convection,other,LG microwave oven convection Model 377,15541.0,,1848.0,reliance digital,5 Days,UNKNOWN,False,
power bank fast charging,other,Nike power bank fast charging Model 332,20043.0,3.7,2355.0,flipkart,2 Days,UNKNOWN,False,
microwave oven convection,other,Puma microwave oven convection Model 583,33632.0,4.5,,reliance digital,Free Delivery,UNKNOWN,False,
men running shoes,fashion,Philips men running shoes Model 437,8752.0,4.7,3962.0,amazon,5 Days,UNKNOWN,False,
microwave oven convection,other,Sony microwave oven convection Model 873,35455.0,3.7,2825.0,flipkart,5 Days,UNKNOWN,False,
microwave oven convection,other,Boat microwave oven convection Model 875,6446.0,4.6,613.0,amazon,2 Days,UNKNOWN,False,
