keyword,category,title,final_price,rating,reviews,platform,delivery,currency,is_emi,link,brand,visibility_score,price_range,rating_category,review_category,top_10,value_score
office chair ergonomic,office equipments,HP office chair ergonomic Model 603,36225.0,3.7,3241.0,Croma,2 Days,UNKNOWN,False,,HP,5.453578280918249,High,Medium,High,True,0.3310338164251208
microwave oven convection,other,Dell microwave oven convection Model 877,2507.0,4.7,3446.0,Flipkart,Free Delivery,UNKNOWN,False,,Dell,6.078103826606746,High,High,High,True,6.460390905464699
men running shoes,fashion,Dell men running shoes Model 536,2176.0,3.8,2031.0,Croma,5 Days,UNKNOWN,False,,Dell,5.3267103234793485,High,Medium,High,True,3.5467830882352938
power bank fast charging,other,Samsung power bank fast charging Model 562,5331.0,,4124.0,Reliance Digital,5 Days,UNKNOWN,False,,Samsung,,High,,High,False,
office chair ergonomic,office equipments,Philips office chair ergonomic Model 836,4564.0,3.0,1540.0,Amazon,Free Delivery,UNKNOWN,False,,Philips,4.736074734128046,High,Medium,High,True,1.0122699386503067
microwave oven convection,other,Boat microwave oven convection Model 588,21830.0,4.0,126.0,Croma,Free Delivery,UNKNOWN,False,,Boat,4.337674834583437,High,Medium,Medium,True,0.02308749427393495
office chair ergonomic,office equipments,Puma office chair ergonomic Model 591,19233.0,4.6,3911.0,Reliance Digital,5 Days,UNKNOWN,False,,Puma,6.068721612461884,High,High,High,True,0.9354026932875785
men running shoes,fashion,Boat men running shoes Model 859 ,20381.0,,684.0,Amazon,2 Days,UNKNOWN,False,,Boat,,High,,Medium,False,
office chair ergonomic,office equipments,Puma office chair ergonomic Model 417,8744.0,4.9,3832.0,Croma,2 Days,UNKNOWN,False,,Puma,6.240561226152222,High,High,High,True,2.1473924977127177
power bank fast charging,other,Dell power bank fast charging Model 575,190200.0,4.5,4367.0,Croma,Free Delivery,UNKNOWN,False,,Dell,6.0528242069698965,High,High,High,True,0.10332018927444794
power bank fast charging,other,Sony power bank fast charging Model 896,5150.0,5.0,2220.0,Croma,2 Days,UNKNOWN,False,,Sony,6.082285129557771,High,High,High,True,2.1553398058252426
air fryer india,other,Philips air fryer India Model 339,45304.0,2.7,1761.0,Reliance Digital,2 Days,UNKNOWN,False,,Philips,4.60968192259845,High,Medium,High,True,0.10495099770439698
men running shoes,fashion,Philips men running shoes Model 418,9160.0,3.7,2887.0,Amazon,5 Days,UNKNOWN,False,,Philips,5.407327800005087,High,Medium,High,True,1.166146288209607
power bank fast charging,other,LG power bank fast charging Model 382,10945.0,2.9,3032.0,Amazon,Free Delivery,UNKNOWN,False,,LG,4.946923003075433,High,Medium,High,True,0.8033622658748286
microwave oven convection,other,HP microwave oven convection Model 409,17931.0,2.9,4166.0,Amazon,2 Days,UNKNOWN,False,,HP,5.073980652568982,High,Medium,High,True,0.6737716803301544
office chair ergonomic,office equipments,Puma office chair ergonomic Model 198 ,15160.0,3.2,1275.0,Flipkart,2 Days,UNKNOWN,False,,Puma,4.780594185561894,High,Medium,High,True,0.2691292875989446
air fryer india,other,Sony air fryer India Model 266,45361.0,3.1,2934.0,Croma,5 Days,UNKNOWN,False,,Sony,5.053785092904878,High,Medium,High,True,0.2005114525693878
power bank fast charging,other,Puma power bank fast charging Model 621 ,48199.0,,203.0,Amazon,2 Days,UNKNOWN,False,,Puma,,High,,Medium,False,
men running shoes,fashion,Nike men running shoes Model 602,22310.0,3.8,255.0,Croma,5 Days,UNKNOWN,False,,Nike,4.498070977791825,High,Medium,Medium,True,0.04343343792021515
microwave oven convection,other,LG microwave oven convection Model 351,31911.0,4.4,2073.0,Reliance Digital,2 Days,UNKNOWN,False,,LG,5.694893755515789,High,High,High,True,0.2858324715615305
office chair ergonomic,office equipments,Nike office chair ergonomic Model 173,33852.0,4.4,3965.0,Amazon,2 Days,UNKNOWN,False,,Nike,5.954205323631896,High,High,High,True,0.5153609831029186
men running shoes,fashion,HP men running shoes Model 796,16321.0,4.8,4474.0,Flipkart,5 Days,UNKNOWN,False,,HP,6.242504652283582,High,High,High,True,1.3158017278353042
power bank fast charging,other,Puma power bank fast charging Model 343,889.0,4.9,3557.0,Reliance Digital,5 Days,UNKNOWN,False,,Puma,6.210781547290312,Medium,High,High,True,19.605511811023625
microwave oven convection,other,Nike microwave oven convection Model 438,1670.0,3.9,1982.0,Amazon,2 Days,UNKNOWN,False,,Nike,5.376946451407918,Medium,Medium,High,True,4.628622754491018
office chair ergonomic,office equipments,Sony office chair ergonomic Model 955,28760.0,3.6,2169.0,Flipkart,2 Days,UNKNOWN,False,,Sony,5.232992978613803,High,Medium,High,True,0.27150208623087624
microwave oven convection,other,Nike microwave oven convection Model 917 ,4484.0,3.0,3422.0,Reliance Digital,5 Days,UNKNOWN,False,,Nike,5.055309055412074,High,Medium,High,True,2.289473684210526
air fryer india,other,Dell air fryer India Model 250,25576.0,2.9,1041.0,Flipkart,5 Days,UNKNOWN,False,,Dell,4.519558888925325,High,Medium,High,True,0.11803644041288709
power bank fast charging,other,Boat power bank fast charging Model 977,999.0,3.3,2070.0,Amazon,5 Days,UNKNOWN,False,,Boat,5.034314744558234,Medium,Medium,High,True,6.837837837837838
microwave oven convection,other,Dell microwave oven convection Model 272,438510.0,4.5,351.0,Reliance Digital,5 Days,UNKNOWN,False,,Dell,5.045452470239239,High,High,Medium,True,0.003601970308544845
air fryer india,other,LG air fryer India Model 797,10526.0,4.7,4373.0,Reliance Digital,2 Days,UNKNOWN,False,,LG,6.173373280494685,High,High,High,True,1.952603078092343
office chair ergonomic,office equipments,LG office chair ergonomic Model 187,7370.0,4.9,324.0,Flipkart,5 Days,UNKNOWN,False,,LG,5.253530072931895,High,High,Medium,True,0.21541383989145185
power bank fast charging,other,LG power bank fast charging Model 927,5380.0,2.6,1069.0,Croma,Free Delivery,UNKNOWN,False,,LG,4.350165570982381,High,Medium,High,True,0.5166171003717472
office chair ergonomic,office equipments,Boat office chair ergonomic Model 251,10118.0,3.7,2270.0,Amazon,2 Days,UNKNOWN,False,,Boat,5.311190216842224,High,Medium,High,True,0.8301047637873098
men running shoes,fashion,Philips men running shoes Model 769,6357.0,3.3,255.0,Reliance Digital,5 Days,UNKNOWN,False,,Philips,4.198070977791825,High,Medium,Medium,True,0.13237376120811703
power bank fast charging,other,Dell power bank fast charging Model 326,35283.0,3.8,4008.0,Amazon,2 Days,UNKNOWN,False,,Dell,5.5985188450570025,High,Medium,High,True,0.4316639741518578
men running shoes,fashion,Dell men running shoes Model 450,2830.0,2.9,3675.0,Amazon,2 Days,UNKNOWN,False,,Dell,5.023832193390231,High,Medium,High,True,3.7659010600706715
power bank fast charging,other,LG power bank fast charging Model 330,28981.0,3.8,4349.0,Croma,2 Days,UNKNOWN,False,,LG,5.631172449633092,High,Medium,High,True,0.570242572720058
office chair ergonomic,office equipments,LG office chair ergonomic Model 365,42218.0,3.0,138.0,Amazon,Free Delivery,UNKNOWN,False,,LG,3.7737895732522766,High,Medium,Medium,True,0.009806243782272964
men running shoes,fashion,LG men running shoes Model 272,20795.0,4.1,1456.0,Flipkart,2 Days,UNKNOWN,False,,LG,5.3736539224780815,High,High,High,True,0.28706900697283
microwave oven convection,other,HP microwave oven convection Model 260,10399.0,4.8,1364.0,Croma,2 Days,UNKNOWN,False,,HP,5.767563883047624,High,High,High,True,0.6295989999038369
men running shoes,fashion,HP men running shoes Model 980,22136.0,4.4,2269.0,Croma,Free Delivery,UNKNOWN,False,,HP,5.73101404419018,High,High,High,True,0.45101192627394293
power bank fast charging,other,Boat power bank fast charging Model 625 ,38621.0,3.5,2443.0,Amazon,2 Days,UNKNOWN,False,,Boat,5.220556528116594,High,Medium,High,True,0.22139509593226483
office chair ergonomic,office equipments,HP office chair ergonomic Model 850,47613.0,4.9,4909.0,Croma,5 Days,UNKNOWN,False,,HP,6.3396116883154265,High,High,High,True,0.5052002604330751
microwave oven convection,other,Boat microwave oven convection Model 255,9089.0,4.1,3138.0,Croma,5 Days,UNKNOWN,False,,Boat,5.680663822736781,High,High,High,True,1.415535262405105
air fryer india,other,Sony air fryer India Model 404,10311.0,2.9,2685.0,Croma,Free Delivery,UNKNOWN,False,,Sony,4.898323350833273,High,Medium,High,True,0.7551643875472797
air fryer india,other,Philips air fryer India Model 313 ,38075.0,3.5,1080.0,Amazon,Free Delivery,UNKNOWN,False,,Philips,4.894256727055684,High,Medium,High,True,0.09927774130006566
microwave oven convection,other,Puma microwave oven convection Model 765,8497.0,2.6,1408.0,Croma,2 Days,UNKNOWN,False,,Puma,4.460254204759472,High,Medium,High,True,0.43083441214546314
microwave oven convection,other,LG microwave oven convection Model 377,15541.0,,1848.0,Reliance Digital,5 Days,UNKNOWN,False,,LG,,High,,High,False,
power bank fast charging,other,Nike power bank fast charging Model 332,20043.0,3.7,2355.0,Flipkart,2 Days,UNKNOWN,False,,Nike,5.325888217908592,High,Medium,High,True,0.4347403083370753
